100191	troynik-530h8-500h8-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 530×8 ОСТ 34.10.762-1997
100197	troynik-630h12-600h12-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 630×12 ОСТ 34.10.762-1997
100203	troynik-630h8-600h8-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 630×8 ОСТ 34.10.762-1997
100209	troynik-820h9-600h9-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 820×9 ОСТ 34.10.762-1997
100215	troynik-1220h10-1200h10-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 1220×10 ОСТ 34.10.762-1997
100221	troynik-1420h14-1400h14-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 1420×14 ОСТ 34.10.762-1997
100227	troynik-1620h14-1600h14-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 1620×14 ОСТ 34.10.762-1997
100233	troynik-76h4-65h4-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 76×4 ОСТ 34.10.762-1997
100239	troynik-89h5-80h5-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 89×5 ОСТ 34.10.762-1997
100245	troynik-89h4-5-80h4-5-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 89×4.5 ОСТ 34.10.762-1997
100251	troynik-108h6-100h6-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 108×6 ОСТ 34.10.762-1997
100257	troynik-133h6-125h6-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 133×6 ОСТ 34.10.762-1997
100263	troynik-159h7-150h7-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 159×7 ОСТ 34.10.762-1997
100269	troynik-159h9-150h9-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 159×9 ОСТ 34.10.762-1997
100275	troynik-219h11-200h11-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 219×11 ОСТ 34.10.762-1997
100281	troynik-219h9-200h9-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 219×9 ОСТ 34.10.762-1997
100287	troynik-273h11-250h11-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 273×11 ОСТ 34.10.762-1997
100293	troynik-273h14-250h14-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 273×14 ОСТ 34.10.762-1997
100305	troynik-325h8-300h8-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 325×8 ОСТ 34.10.762-1997
100311	troynik-325h10-300h10-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 325×10 ОСТ 34.10.762-1997
100317	troynik-325h16-300h16-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 325×16 ОСТ 34.10.762-1997
100323	troynik-377h11-350h11-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 377×11 ОСТ 34.10.762-1997
100329	troynik-377h18-350h18-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 377×18 ОСТ 34.10.762-1997
100335	troynik-426h22-400h22-ost-34-10-762-1997	снят Ду, выданный за второй конец	Тройник 426×22 ОСТ 34.10.762-1997
100341	troynik-273h7-250h7-dy250-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 273×7 Dy250 СЕРИЯ 4.903-2010
100347	troynik-325h3-300h3-dy300-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 325×3 Dy300 СЕРИЯ 4.903-2010
100353	troynik-377h30-350h30-dy350-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 377×30 Dy350 СЕРИЯ 4.903-2010
100365	troynik-530h8-500h8-dy500-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 530×8 Dy500 СЕРИЯ 4.903-2010
100371	troynik-720h9-700h9-dy700-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 720×9 Dy700 СЕРИЯ 4.903-2010
100395	troynik-630h7-600h7-dy600-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 630×7 Dy600 СЕРИЯ 4.903-2010
100407	troynik-530h9-500h9-dy500-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 530×9 Dy500 СЕРИЯ 4.903-2010
100431	troynik-325h6-300h6-dy300-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 325×6 Dy300 СЕРИЯ 4.903-2010
100437	troynik-325h8-300h8-dy300-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 325×8 Dy300 СЕРИЯ 4.903-2010
100443	troynik-377h4-350h4-dy350-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 377×4 Dy350 СЕРИЯ 4.903-2010
100449	troynik-720h11-700h11-dy700-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 720×11 Dy700 СЕРИЯ 4.903-2010
100455	troynik-720h6-700h6-dy700-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 720×6 Dy700 СЕРИЯ 4.903-2010
100461	troynik-530h6-500h6-dy500-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 530×6 Dy500 СЕРИЯ 4.903-2010
100467	troynik-720h7-700h7-dy700-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 720×7 Dy700 СЕРИЯ 4.903-2010
100473	troynik-720h8-700h8-dy700-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 720×8 Dy700 СЕРИЯ 4.903-2010
100479	troynik-820h9-800h9-dy800-seriya-4-903-2010	снят Ду, выданный за второй конец	Тройник 820×9 Dy800 СЕРИЯ 4.903-2010
103161	perehod-e-38h2-25h2-gost-17378-2001	снят Ду, выданный за второй конец	Переход 38×2 ГОСТ 17378-2001
103175	perehod-e-38h3-25h3-gost-17378-2001	снят Ду, выданный за второй конец	Переход 38×3 ГОСТ 17378-2001
103189	perehod-e-38h4-25h4-gost-17378-2001	снят Ду, выданный за второй конец	Переход 38×4 ГОСТ 17378-2001
119588	perehod-dn19-dn20-ost-34-10-423-1990	снят Ду, выданный за второй конец	Переход 25×2 ОСТ 34.10.423-1990
119592	perehod-dn28-dn25-ost-34-10-423-1990	снят Ду, выданный за второй конец	Переход 32×3 ОСТ 34.10.423-1990
